"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2403","Edit course","LMS system","2026-09-25","passed","2026-09-25","Courses","Courses","",""
"","1395","Registration with correct email, username and password","LMS system","2026-09-25","passed","2026-09-25","Registration","Authentication","",""
"","1323","User login with wrong email or password","LMS system","2026-09-25","passed","2026-09-25","Authorization","Authentication","",""
"","1563","Check displaying of dashboard page","LMS system","2026-09-25","passed","2026-09-25","Dashboard","Dashboard","",""
"","2566","User login with correct email and password","LMS system","2026-09-25","passed","2026-09-25","Authorization","Authentication","",""
"","1824","Create course","LMS system","2026-09-25","passed","2026-09-25","Courses","Courses","",""
"","1698","User login with wrong email or password","LMS system","2026-09-25","passed","2026-09-25","Authorization","Authentication","",""
"","1337","Check displaying of empty courses list","LMS system","2026-09-25","passed","2026-09-25","Courses","Courses","",""
"","1456","Navigation from login page to registration page","LMS system","2026-09-25","passed","2026-09-25","Authorization","Authentication","",""
"","1429","User login with wrong email or password","LMS system","2026-09-25","passed","2026-09-25","Authorization","Authentication","",""
